step_index,timestamp_sec,flight_phase,message_type,criticality,latency_budget_ms,system_config,ai_threat_level,ai_threat_score,ai_confidence,is_anomaly,anomaly_score,forecast_trend,preemptive_flag,previous_construction,selected_construction,transition_type,dwell_counter,safety_override_triggered,downgrade_blocked,explainable_reason,ai_inference_time_ms,policy_decision_time_ms,measured_handshake_latency_ms,measured_encap_latency_ms,measured_sign_latency_ms,measured_total_latency_ms,energy_cost_uj,security_margin_bits,deadline_met,scenario_id,scenario_name
17,32.0,DESCENT,FLIGHT_PLAN,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,9.15,0.9535,False,20.95,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,11.6662,0.0314,0.0,0.052,0.04,11.7896,310.0,192,True,S01_NORMAL,S01: Normal Cruise Operation
18,34.0,APPROACH,FLIGHT_PLAN,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,10.04,0.9539,False,21.38,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,15.1271,0.0231,0.0,0.052,0.04,15.2422,310.0,192,True,S01_NORMAL,S01: Normal Cruise Operation
19,36.0,APPROACH,FLIGHT_PLAN,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,9.86,0.9539,False,21.2,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,15.6222,0.0359,0.0,0.052,0.04,15.7501,310.0,192,True,S01_NORMAL,S01: Normal Cruise Operation
20,38.0,APPROACH,FLIGHT_PLAN,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,9.15,0.9537,False,21.15,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,15.8052,0.0395,0.0,0.052,0.04,15.9367,310.0,192,True,S01_NORMAL,S01: Normal Cruise Operation
1,0.0,CRUISE,NAVIGATION_UPDATE,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,13.05,0.9353,False,25.04,STABLE,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-BALANCED-V1,INITIAL,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,19.0515,0.0665,8.2,0.052,0.04,27.41,310.0,192,True,S02_ELEVATED_THREAT,S02: Elevated Threat & Noise
2,2.0,CRUISE,NAVIGATION_UPDATE,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,13.05,0.9351,False,25.12,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,17.0359,0.0438,0.0,0.052,0.04,17.1717,310.0,192,True,S02_ELEVATED_THREAT,S02: Elevated Threat & Noise
3,4.0,CRUISE,NAVIGATION_UPDATE,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,13.05,0.935,False,25.3,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,24.2836,0.0456,0.0,0.052,0.04,24.4212,310.0,192,True,S02_ELEVATED_THREAT,S02: Elevated Threat & Noise
4,6.0,CRUISE,NAVIGATION_UPDATE,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,13.05,0.935,False,25.38,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,13.0823,0.043,0.0,0.052,0.04,13.2173,310.0,192,True,S02_ELEVATED_THREAT,S02: Elevated Threat & Noise
5,8.0,CRUISE,NAVIGATION_UPDATE,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,13.05,0.9352,False,25.07,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,16.3456,0.0414,0.0,0.052,0.04,16.479,310.0,192,True,S02_ELEVATED_THREAT,S02: Elevated Threat & Noise
6,10.0,CRUISE,NAVIGATION_UPDATE,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,13.05,0.9353,False,24.95,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,11.0087,0.0924,0.0,0.052,0.04,11.1931,310.0,192,True,S02_ELEVATED_THREAT,S02: Elevated Threat & Noise
7,12.0,CRUISE,NAVIGATION_UPDATE,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,29.8,0.5246,True,100.0,RAPID_ESCALATION,True,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,30.532,0.0537,0.0,0.052,0.04,30.6777,310.0,192,True,S02_ELEVATED_THREAT,S02: Elevated Threat & Noise
8,14.0,CRUISE,NAVIGATION_UPDATE,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,26.01,0.8375,True,100.0,RAPID_ESCALATION,True,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,34.6149,0.0523,0.0,0.052,0.04,34.7592,310.0,192,True,S02_ELEVATED_THREAT,S02: Elevated Threat & Noise
9,16.0,CRUISE,NAVIGATION_UPDATE,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,29.33,0.7103,True,100.0,RAPID_ESCALATION,True,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,21.4792,0.0492,0.0,0.052,0.04,21.6204,310.0,192,True,S02_ELEVATED_THREAT,S02: Elevated Threat & Noise
10,18.0,CRUISE,NAVIGATION_UPDATE,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,29.84,0.5235,True,100.0,RAPID_ESCALATION,True,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,12.3228,0.0476,0.0,0.052,0.04,12.4624,310.0,192,True,S02_ELEVATED_THREAT,S02: Elevated Threat & Noise
11,20.0,CRUISE,NAVIGATION_UPDATE,IMPORTANT,5000.0,AI_ADAPTIVE,ELEVATED,28.68,0.4091,True,100.0,MODERATE_INCREASE,True,ADAPTIVE-BALANCED-V1,ADAPTIVE-HIGH-ASSURANCE-V1,ESCALATION,0,True,False,Mode C: Selected ADAPTIVE-HIGH-ASSURANCE-V1 (HIGH_ASSURANCE) for IMPORTANT traffic under HIGH threat. All safety invariants and latency constraints are satisfied.,12.739,0.0499,62.0,0.085,0.07,74.9439,890.0,256,True,S02_ELEVATED_THREAT,S02: Elevated Threat & Noise
12,22.0,CRUISE,NAVIGATION_UPDATE,IMPORTANT,5000.0,AI_ADAPTIVE,ELEVATED,28.57,0.4076,True,100.0,MODERATE_INCREASE,False,ADAPTIVE-HIGH-ASSURANCE-V1,ADAPTIVE-HIGH-ASSURANCE-V1,STABLE,0,True,False,Mode C: Selected ADAPTIVE-HIGH-ASSURANCE-V1 (HIGH_ASSURANCE) for IMPORTANT traffic under HIGH threat. All safety invariants and latency constraints are satisfied.,11.3229,0.0442,0.0,0.085,0.07,11.5221,890.0,256,True,S02_ELEVATED_THREAT,S02: Elevated Threat & Noise
13,24.0,CRUISE,NAVIGATION_UPDATE,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,26.01,0.8378,True,100.0,MODERATE_INCREASE,False,ADAPTIVE-HIGH-ASSURANCE-V1,ADAPTIVE-HIGH-ASSURANCE-V1,DOWNGRADE_HELD,1,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied. [Hysteresis hold step 1/3],11.979,0.0333,0.0,0.085,0.07,12.1673,890.0,256,True,S02_ELEVATED_THREAT,S02: Elevated Threat & Noise
14,26.0,CRUISE,NAVIGATION_UPDATE,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,25.37,0.7034,True,100.0,STABLE,False,ADAPTIVE-HIGH-ASSURANCE-V1,ADAPTIVE-HIGH-ASSURANCE-V1,DOWNGRADE_HELD,2,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied. [Hysteresis hold step 2/3],16.7508,0.0509,0.0,0.085,0.07,16.9567,890.0,256,True,S02_ELEVATED_THREAT,S02: Elevated Threat & Noise
15,28.0,CRUISE,NAVIGATION_UPDATE,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,25.37,0.7029,True,100.0,STABLE,False,ADAPTIVE-HIGH-ASSURANCE-V1,ADAPTIVE-BALANCED-V1,DOWNGRADE_EXECUTED,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,14.2627,0.0472,8.2,0.052,0.04,22.6019,310.0,192,True,S02_ELEVATED_THREAT,S02: Elevated Threat & Noise
16,30.0,CRUISE,NAVIGATION_UPDATE,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,29.8,0.5248,True,100.0,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,18.0164,0.0506,0.0,0.052,0.04,18.159,310.0,192,True,S02_ELEVATED_THREAT,S02: Elevated Threat & Noise
17,32.0,CRUISE,NAVIGATION_UPDATE,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,13.05,0.935,False,25.43,DECREASING,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,16.4463,0.0518,0.0,0.052,0.04,16.5901,310.0,192,True,S02_ELEVATED_THREAT,S02: Elevated Threat & Noise
18,34.0,CRUISE,NAVIGATION_UPDATE,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,13.05,0.9351,False,25.12,DECREASING,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,11.997,0.0531,0.0,0.052,0.04,12.1421,310.0,192,True,S02_ELEVATED_THREAT,S02: Elevated Threat & Noise
19,36.0,CRUISE,NAVIGATION_UPDATE,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,13.05,0.9352,False,25.07,DECREASING,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,23.5541,0.0488,0.0,0.052,0.04,23.6949,310.0,192,True,S02_ELEVATED_THREAT,S02: Elevated Threat & Noise
20,38.0,CRUISE,NAVIGATION_UPDATE,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,13.05,0.9352,False,25.06,DECREASING,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,15.1349,0.0443,0.0,0.052,0.04,15.2712,310.0,192,True,S02_ELEVATED_THREAT,S02: Elevated Threat & Noise
1,0.0,CRUISE,FLIGHT_CONTROL,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,15.32,0.9209,False,35.59,STABLE,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-BALANCED-V1,INITIAL,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,15.0322,0.0563,8.2,0.052,0.04,23.3805,310.0,192,True,S03_HIGH_THREAT,S03: High Threat Replay Attack
2,2.0,CRUISE,FLIGHT_CONTROL,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,15.32,0.9209,False,35.59,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,13.9272,0.0483,0.0,0.052,0.04,14.0675,310.0,192,True,S03_HIGH_THREAT,S03: High Threat Replay Attack
3,4.0,CRUISE,FLIGHT_CONTROL,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,15.32,0.9209,False,35.59,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,20.7886,0.061,0.0,0.052,0.04,20.9416,310.0,192,True,S03_HIGH_THREAT,S03: High Threat Replay Attack
4,6.0,CRUISE,FLIGHT_CONTROL,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,15.32,0.9209,False,35.59,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,12.5844,0.0449,0.0,0.052,0.04,12.7213,310.0,192,True,S03_HIGH_THREAT,S03: High Threat Replay Attack
5,8.0,CRUISE,FLIGHT_CONTROL,IMPORTANT,5000.0,AI_ADAPTIVE,NORMAL,15.32,0.9209,False,35.59,STABLE,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,False,Mode C: Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,7.7609,0.0367,0.0,0.052,0.04,7.8896,310.0,192,True,S03_HIGH_THREAT,S03: High Threat Replay Attack
6,10.0,CRUISE,FLIGHT_CONTROL,CRITICAL,5000.0,AI_ADAPTIVE,ELEVATED,58.02,0.9996,True,100.0,RAPID_ESCALATION,True,ADAPTIVE-BALANCED-V1,ADAPTIVE-HIGH-ASSURANCE-V1,ESCALATION,0,True,True,Mode C: Selected ADAPTIVE-HIGH-ASSURANCE-V1 (HIGH_ASSURANCE) for CRITICAL traffic under ELEVATED threat. All safety invariants and latency constraints are satisfied.,10.7589,0.0337,62.0,0.085,0.07,72.9476,890.0,256,True,S03_HIGH_THREAT,S03: High Threat Replay Attack
7,12.0,CRUISE,FLIGHT_CONTROL,CRITICAL,5000.0,AI_ADAPTIVE,ELEVATED,57.24,0.9995,True,100.0,RAPID_ESCALATION,True,ADAPTIVE-HIGH-ASSURANCE-V1,ADAPTIVE-HIGH-ASSURANCE-V1,STABLE,0,True,True,Mode C: Selected ADAPTIVE-HIGH-ASSURANCE-V1 (HIGH_ASSURANCE) for CRITICAL traffic under ELEVATED threat. All safety invariants and latency constraints are satisfied.,16.5958,0.0521,0.0,0.085,0.07,16.8029,890.0,256,True,S03_HIGH_THREAT,S03: High Threat Replay Attack
8,14.0,CRUISE,FLIGHT_CONTROL,CRITICAL,5000.0,AI_ADAPTIVE,ELEVATED,55.12,0.999,True,100.0,RAPID_ESCALATION,True,ADAPTIVE-HIGH-ASSURANCE-V1,ADAPTIVE-HIGH-ASSURANCE-V1,STABLE,0,True,True,Mode C: Selected ADAPTIVE-HIGH-ASSURANCE-V1 (HIGH_ASSURANCE) for CRITICAL traffic under ELEVATED threat. All safety invariants and latency constraints are satisfied.,11.8378,0.0472,0.0,0.085,0.07,12.04,890.0,256,True,S03_HIGH_THREAT,S03: High Threat Replay Attack
9,16.0,CRUISE,FLIGHT_CONTROL,CRITICAL,5000.0,AI_ADAPTIVE,ELEVATED,55.3,0.9998,True,100.0,RAPID_ESCALATION,True,ADAPTIVE-HIGH-ASSURANCE-V1,ADAPTIVE-HIGH-ASSURANCE-V1,STABLE,0,True,True,Mode C: Selected ADAPTIVE-HIGH-ASSURANCE-V1 (HIGH_ASSURANCE) for CRITICAL traffic under ELEVATED threat. All safety invariants and latency constraints are satisfied.,24.4609,0.0646,0.0,0.085,0.07,24.6805,890.0,256,True,S03_HIGH_THREAT,S03: High Threat Replay Attack
10,18.0,CRUISE,FLIGHT_CONTROL,CRITICAL,5000.0,AI_ADAPTIVE,ELEVATED,58.45,0.9999,True,100.0,RAPID_ESCALATION,True,ADAPTIVE-HIGH-ASSURANCE-V1,ADAPTIVE-HIGH-ASSURANCE-V1,STABLE,0,True,True,Mode C: Selected ADAPTIVE-HIGH-ASSURANCE-V1 (HIGH_ASSURANCE) for CRITICAL traffic under ELEVATED threat. All safety invariants and latency constraints are satisfied.,24.1854,0.0663,0.0,0.085,0.07,24.4067,890.0,256,True,S03_HIGH_THREAT,S03: High Threat Replay Attack
