step_index,timestamp_sec,flight_phase,message_type,criticality,latency_budget_ms,observed_packet_rate_hz,channel_bit_error_rate,replay_attempt_count,auth_failure_count,integrity_failure_count,aad_tamper_count,transcript_anomaly_count,ai_threat_level,ai_threat_score,ai_confidence,confidence_status,anomaly_score,anomaly_severity,is_anomaly,forecast_trend,forecast_rate_of_change,preemptive_flag,previous_construction,selected_construction,transition_type,dwell_counter,safety_override_triggered,explainable_reason,measured_handshake_latency_ms,measured_encap_latency_ms,measured_sign_latency_ms,measured_total_latency_ms,security_margin_bits,energy_cost_uj,deadline_met,scenario_id,scenario_name
16,30.0,CRUISE,AIRCRAFT_STATUS,ROUTINE,5000.0,25.4233600241796,0.0001,0,0,0,0,0,NORMAL,8.76,0.9818,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,-0.097,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-STANDARD-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-STANDARD-V1.,6.5024,0.2657,0.204,0.4697,128,185.0,True,SCN-001,SCN-001: Routine Peaceful Flight
17,32.0,CRUISE,AIRCRAFT_STATUS,ROUTINE,5000.0,24.82487756971726,0.00015000000000000001,0,0,0,0,0,NORMAL,8.65,0.982,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,-0.08,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-STANDARD-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-STANDARD-V1.,6.2592,0.2615,0.216,0.47750000000000004,128,185.0,True,SCN-001,SCN-001: Routine Peaceful Flight
18,34.0,CRUISE,AIRCRAFT_STATUS,ROUTINE,5000.0,24.233376693919507,0.0002,0,0,0,0,0,NORMAL,8.4,0.9822,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,-0.063,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-STANDARD-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-STANDARD-V1.,10.198,0.79,0.2289,1.0189,128,185.0,True,SCN-001,SCN-001: Routine Peaceful Flight
19,36.0,CRUISE,AIRCRAFT_STATUS,ROUTINE,5000.0,23.672438670115444,0.0001,0,0,0,0,0,NORMAL,8.76,0.9818,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,-0.005,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-STANDARD-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-STANDARD-V1.,7.5277,0.3393,0.4979,0.8371999999999999,128,185.0,True,SCN-001,SCN-001: Routine Peaceful Flight
20,38.0,CRUISE,AIRCRAFT_STATUS,ROUTINE,5000.0,23.164426327171842,0.00015000000000000001,0,0,0,0,0,NORMAL,8.65,0.9819,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,0.01,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-STANDARD-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-STANDARD-V1.,20.0631,0.2882,0.2873,0.5755,128,185.0,True,SCN-001,SCN-001: Routine Peaceful Flight
21,40.0,CRUISE,AIRCRAFT_STATUS,ROUTINE,5000.0,22.729592514076217,0.0002,0,0,0,0,0,NORMAL,8.4,0.9821,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,-0.013,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-STANDARD-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-STANDARD-V1.,5.7583,0.2404,0.1844,0.4248,128,185.0,True,SCN-001,SCN-001: Routine Peaceful Flight
22,42.0,CRUISE,AIRCRAFT_STATUS,ROUTINE,5000.0,22.385272682759236,0.0001,0,0,0,0,0,NORMAL,8.78,0.9818,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,0.005,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-STANDARD-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-STANDARD-V1.,6.4962,0.3886,0.328,0.7166,128,185.0,True,SCN-001,SCN-001: Routine Peaceful Flight
23,44.0,CRUISE,AIRCRAFT_STATUS,ROUTINE,5000.0,22.145193778331453,0.00015000000000000001,0,0,0,0,0,NORMAL,8.66,0.9819,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,0.011,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-STANDARD-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-STANDARD-V1.,29.6002,0.2827,0.2147,0.4974,128,185.0,True,SCN-001,SCN-001: Routine Peaceful Flight
24,46.0,CRUISE,AIRCRAFT_STATUS,ROUTINE,5000.0,22.018926989099604,0.0002,0,0,0,0,0,NORMAL,8.42,0.9821,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,-0.01,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-STANDARD-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-STANDARD-V1.,5.2401,0.2293,0.1631,0.39239999999999997,128,185.0,True,SCN-001,SCN-001: Routine Peaceful Flight
25,48.0,CRUISE,AIRCRAFT_STATUS,ROUTINE,5000.0,22.011506173492478,0.0001,0,0,0,0,0,NORMAL,8.78,0.9817,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,0.006,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-STANDARD-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-STANDARD-V1.,6.1501,0.4884,0.1953,0.6837,128,185.0,True,SCN-001,SCN-001: Routine Peaceful Flight
26,50.0,APPROACH,FLIGHT_PLAN,IMPORTANT,5000.0,22.123227176010584,0.00015000000000000001,0,0,0,0,0,NORMAL,10.04,0.9541,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,0.144,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-BALANCED-V1,ESCALATION,0,False,Mode C: Immediate security escalation from ADAPTIVE-STANDARD-V1 to ADAPTIVE-BALANCED-V1. Selected ADAPTIVE-BALANCED-V1 (BALANCED) for IMPORTANT traffic under NORMAL threat. All safety invariants and latency constraints are satisfied.,20.6417,0.3236,2.9887,23.954,192,310.0,True,SCN-001,SCN-001: Routine Peaceful Flight
27,52.0,APPROACH,FLIGHT_PLAN,IMPORTANT,5000.0,22.34963603283954,0.0002,0,0,0,0,0,NORMAL,9.96,0.9545,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,0.205,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,13.412,3.0628,0.2738,3.3366000000000002,192,310.0,True,SCN-001,SCN-001: Routine Peaceful Flight
28,54.0,APPROACH,FLIGHT_PLAN,IMPORTANT,5000.0,22.68170653733204,0.0001,0,0,0,0,0,NORMAL,9.15,0.9537,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,0.141,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,18.8849,0.3199,0.2408,0.5607,192,310.0,True,SCN-001,SCN-001: Routine Peaceful Flight
29,56.0,APPROACH,FLIGHT_PLAN,IMPORTANT,5000.0,23.106200086383037,0.00015000000000000001,0,0,0,0,0,NORMAL,10.04,0.9541,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,0.183,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,16.8973,4.4459,0.2755,4.7214,192,310.0,True,SCN-001,SCN-001: Routine Peaceful Flight
30,58.0,APPROACH,FLIGHT_PLAN,IMPORTANT,5000.0,23.60619346175873,0.0002,0,0,0,0,0,NORMAL,9.96,0.9546,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,0.181,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,23.0499,0.2907,0.2402,0.5309,192,310.0,True,SCN-001,SCN-001: Routine Peaceful Flight
31,60.0,LANDING,FLIGHT_PLAN,IMPORTANT,5000.0,24.161753505403222,0.0001,0,0,0,0,0,NORMAL,9.15,0.9538,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,0.078,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,25.267,0.3522,0.2559,0.6081000000000001,192,310.0,True,SCN-001,SCN-001: Routine Peaceful Flight
32,62.0,LANDING,FLIGHT_PLAN,IMPORTANT,5000.0,24.750731791547512,0.00015000000000000001,0,0,0,0,0,NORMAL,10.04,0.9542,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,0.098,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,34.9044,0.3882,0.1925,0.5807,192,310.0,True,SCN-001,SCN-001: Routine Peaceful Flight
33,64.0,LANDING,FLIGHT_PLAN,IMPORTANT,5000.0,25.349647614551483,0.0002,0,0,0,0,0,NORMAL,9.96,0.9548,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,0.086,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,12.6395,0.3231,0.2139,0.537,192,310.0,True,SCN-001,SCN-001: Routine Peaceful Flight
34,66.0,LANDING,FLIGHT_PLAN,IMPORTANT,5000.0,25.934624090540137,0.0001,0,0,0,0,0,NORMAL,9.15,0.9539,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,-0.021,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,10.5363,0.2874,2.2149,2.5023,192,310.0,True,SCN-001,SCN-001: Routine Peaceful Flight
35,68.0,LANDING,FLIGHT_PLAN,IMPORTANT,5000.0,26.482340053415825,0.00015000000000000001,0,0,0,0,0,NORMAL,10.04,0.9544,HIGH_CONFIDENCE,18.24,NOMINAL,False,STABLE,0.001,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,13.8036,0.3213,0.2662,0.5874999999999999,192,310.0,True,SCN-001,SCN-001: Routine Peaceful Flight
1,0.0,CRUISE,NAV_WAYPOINT_UPDATE,IMPORTANT,5000.0,35.0,0.0005,0,0,0,0,0,NORMAL,16.08,0.9578,HIGH_CONFIDENCE,35.84,LOW,False,STABLE,0.0,False,ADAPTIVE-STANDARD-V1,ADAPTIVE-BALANCED-V1,INITIAL,0,False,Mode C: Initial profile established: ADAPTIVE-BALANCED-V1.,12.4299,0.2521,0.1849,12.8669,192,310.0,True,SCN-002,SCN-002: GPS Spoofing & Replay Attack
2,2.0,CRUISE,NAV_WAYPOINT_UPDATE,IMPORTANT,5000.0,35.0,0.0005,0,0,0,0,0,NORMAL,16.08,0.9578,HIGH_CONFIDENCE,35.84,LOW,False,STABLE,-0.0,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,20.9595,0.3083,0.2269,0.5352,192,310.0,True,SCN-002,SCN-002: GPS Spoofing & Replay Attack
3,4.0,CRUISE,NAV_WAYPOINT_UPDATE,IMPORTANT,5000.0,35.0,0.0005,0,0,0,0,0,NORMAL,16.08,0.9578,HIGH_CONFIDENCE,35.84,LOW,False,STABLE,-0.0,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,9.0412,0.6946,0.2666,0.9612,192,310.0,True,SCN-002,SCN-002: GPS Spoofing & Replay Attack
4,6.0,CRUISE,NAV_WAYPOINT_UPDATE,IMPORTANT,5000.0,35.0,0.0005,0,0,0,0,0,NORMAL,16.08,0.9578,HIGH_CONFIDENCE,35.84,LOW,False,STABLE,0.0,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,9.8175,0.3088,0.2011,0.5099,192,310.0,True,SCN-002,SCN-002: GPS Spoofing & Replay Attack
5,8.0,CRUISE,NAV_WAYPOINT_UPDATE,IMPORTANT,5000.0,35.0,0.0005,0,0,0,0,0,NORMAL,16.08,0.9578,HIGH_CONFIDENCE,35.84,LOW,False,STABLE,0.0,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,9.2033,0.2799,0.3278,0.6076999999999999,192,310.0,True,SCN-002,SCN-002: GPS Spoofing & Replay Attack
6,10.0,CRUISE,NAV_WAYPOINT_UPDATE,IMPORTANT,5000.0,35.0,0.0005,0,0,0,0,0,NORMAL,16.08,0.9578,HIGH_CONFIDENCE,35.84,LOW,False,STABLE,0.0,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,25.9716,0.3972,0.2477,0.6449,192,310.0,True,SCN-002,SCN-002: GPS Spoofing & Replay Attack
7,12.0,CRUISE,NAV_WAYPOINT_UPDATE,IMPORTANT,5000.0,35.0,0.0005,0,0,0,0,0,NORMAL,16.08,0.9578,HIGH_CONFIDENCE,35.84,LOW,False,STABLE,0.0,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,17.4545,0.315,0.1706,0.48560000000000003,192,310.0,True,SCN-002,SCN-002: GPS Spoofing & Replay Attack
8,14.0,CRUISE,NAV_WAYPOINT_UPDATE,IMPORTANT,5000.0,35.0,0.0005,0,0,0,0,0,NORMAL,16.08,0.9578,HIGH_CONFIDENCE,35.84,LOW,False,STABLE,-0.0,False,ADAPTIVE-BALANCED-V1,ADAPTIVE-BALANCED-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-BALANCED-V1.,12.6658,0.3028,1.9439,2.2467,192,310.0,True,SCN-002,SCN-002: GPS Spoofing & Replay Attack
9,16.0,CRUISE,NAV_WAYPOINT_UPDATE,CRITICAL,5000.0,75.0,0.008,4,2,1,0,0,NORMAL,47.71,0.6783,LOW_CONFIDENCE_FALLBACK,100.0,CRITICAL,True,RAPID_ESCALATION,3.666,True,ADAPTIVE-BALANCED-V1,ADAPTIVE-CRITICAL-V1,ESCALATION,0,True,Mode C: Immediate security escalation from ADAPTIVE-BALANCED-V1 to ADAPTIVE-CRITICAL-V1. Selected ADAPTIVE-CRITICAL-V1 (CRITICAL) for CRITICAL traffic under CRITICAL threat. All safety invariants and latency constraints are satisfied.,4666.8618,0.3413,0.1938,4667.3969,384,1450.0,True,SCN-002,SCN-002: GPS Spoofing & Replay Attack
10,18.0,CRUISE,NAV_WAYPOINT_UPDATE,CRITICAL,5000.0,75.0,0.008,8,4,1,0,0,ELEVATED,47.76,0.949,LOW_CONFIDENCE_FALLBACK,100.0,CRITICAL,True,RAPID_ESCALATION,4.598,True,ADAPTIVE-CRITICAL-V1,ADAPTIVE-CRITICAL-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-CRITICAL-V1.,10907.256,0.2865,0.253,0.5395,384,1450.0,True,SCN-002,SCN-002: GPS Spoofing & Replay Attack
11,20.0,CRUISE,NAV_WAYPOINT_UPDATE,CRITICAL,5000.0,75.0,0.008,12,6,1,0,0,ELEVATED,48.68,0.9992,LOW_CONFIDENCE_FALLBACK,100.0,CRITICAL,True,RAPID_ESCALATION,5.246,True,ADAPTIVE-CRITICAL-V1,ADAPTIVE-CRITICAL-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-CRITICAL-V1.,4869.4068,0.3502,3.5574,3.9076,384,1450.0,True,SCN-002,SCN-002: GPS Spoofing & Replay Attack
12,22.0,CRUISE,NAV_WAYPOINT_UPDATE,CRITICAL,5000.0,75.0,0.008,16,8,1,0,0,ELEVATED,49.5,1.0,LOW_CONFIDENCE_FALLBACK,100.0,CRITICAL,True,RAPID_ESCALATION,5.261,True,ADAPTIVE-CRITICAL-V1,ADAPTIVE-CRITICAL-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-CRITICAL-V1.,4492.8852,0.3124,0.5096,0.8220000000000001,384,1450.0,True,SCN-002,SCN-002: GPS Spoofing & Replay Attack
13,24.0,CRUISE,NAV_WAYPOINT_UPDATE,CRITICAL,5000.0,75.0,0.008,20,10,1,0,0,ELEVATED,49.93,1.0,LOW_CONFIDENCE_FALLBACK,100.0,CRITICAL,True,RAPID_ESCALATION,4.827,True,ADAPTIVE-CRITICAL-V1,ADAPTIVE-CRITICAL-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-CRITICAL-V1.,4304.8594,0.3409,0.2335,0.5744,384,1450.0,True,SCN-002,SCN-002: GPS Spoofing & Replay Attack
14,26.0,CRUISE,NAV_WAYPOINT_UPDATE,CRITICAL,5000.0,75.0,0.008,24,12,1,0,0,ELEVATED,49.93,0.9999,LOW_CONFIDENCE_FALLBACK,100.0,CRITICAL,True,RAPID_ESCALATION,4.076,True,ADAPTIVE-CRITICAL-V1,ADAPTIVE-CRITICAL-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-CRITICAL-V1.,3322.7293,0.2308,0.1119,0.3427,384,1450.0,True,SCN-002,SCN-002: GPS Spoofing & Replay Attack
15,28.0,CRUISE,NAV_WAYPOINT_UPDATE,CRITICAL,5000.0,75.0,0.008,28,14,1,0,0,ELEVATED,50.13,0.9996,LOW_CONFIDENCE_FALLBACK,100.0,CRITICAL,True,RAPID_ESCALATION,3.172,True,ADAPTIVE-CRITICAL-V1,ADAPTIVE-CRITICAL-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-CRITICAL-V1.,1448.5464,0.1937,0.1437,0.33740000000000003,384,1450.0,True,SCN-002,SCN-002: GPS Spoofing & Replay Attack
16,30.0,CRUISE,NAV_WAYPOINT_UPDATE,CRITICAL,5000.0,75.0,0.008,32,16,1,0,0,ELEVATED,50.13,0.9987,LOW_CONFIDENCE_FALLBACK,100.0,CRITICAL,True,MODERATE_INCREASE,2.184,True,ADAPTIVE-CRITICAL-V1,ADAPTIVE-CRITICAL-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-CRITICAL-V1.,4043.6199,0.3544,0.2713,0.6256999999999999,384,1450.0,True,SCN-002,SCN-002: GPS Spoofing & Replay Attack
17,32.0,CRUISE,NAV_WAYPOINT_UPDATE,CRITICAL,5000.0,75.0,0.008,36,18,1,0,0,ELEVATED,50.13,0.9952,LOW_CONFIDENCE_FALLBACK,100.0,CRITICAL,True,MODERATE_INCREASE,1.182,False,ADAPTIVE-CRITICAL-V1,ADAPTIVE-CRITICAL-V1,STABLE,0,False,Mode C: Profile maintained at ADAPTIVE-CRITICAL-V1.,5876.4718,0.3464,0.2101,0.5565,384,1450.0,True,SCN-002,SCN-002: GPS Spoofing & Replay Attack
